age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,label
34,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,true
49,Private,Some-college,Separated,Exec-managerial,Unmarried,Black,Female,0,0,60,United-States,false
44,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,,true
35,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,false
44,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,,Male,0,0,40,United-States,false
28,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,false
44,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,false
54,Local-gov,10th,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,United-States,false
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,true
30,Private,10th,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,false
50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States,true
30,State-gov,Bachelors,Never-married,Prof-specialty,Other-relative,White,Male,0,0,35,United-States,false
44,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,3998,0,50,United-States,false
20,,Some-college,Never-married,,Own-child,White,Female,0,0,40,United-States,false
36,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,54,United-States,true
54,Local-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,30,United-States,false
23,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,false
26,Private,11th,Separated,Craft-repair,Other-relative,White,Male,3121,0,50,United-States,false
20,,Some-college,Never-married,,Own-child,White,Female,0,0,40,United-States,false
57,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1709,45,United-States,false
27,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,false
19,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,false
41,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,false
