age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,label
39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,false
50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,false
38,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,false
53,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,false
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,false
37,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,false
49,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,false
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,true
31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,true
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,true
37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,true
30,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,true
23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,false
32,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,false
40,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,,true
34,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,false
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,false
32,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,false
38,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,false
43,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,true
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,true
54,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,false
